cielab_id,shade_id,red,green,blue,L,a,b,monk_category
6000,100000,242,224,184,89.697,0.044,21.845,4
6001,100001,240,215,186,87.326,4.215,17.476,4
6002,100002,237,204,170,84.015,6.628,21.246,5
6003,100003,233,207,163,84.275,2.639,25.223,5
6004,100004,244,201,164,83.803,10.092,24.217,5
6005,100005,238,204,158,83.879,5.493,27.375,5
6006,100006,230,198,160,81.703,5.804,23.244,5
6007,100007,247,199,155,83.437,11.223,28.492,5
6008,100008,239,212,183,86.434,4.978,17.791,4
6009,100009,250,220,194,89.583,6.432,16.579,4
6010,100010,251,225,186,90.737,3.133,22.363,4
6011,100011,251,226,197,91.205,4.134,17.304,4
6012,100012,249,235,199,93.312,-0.898,19.194,3
6013,100013,248,237,231,94.438,2.686,4.214,1
6014,100014,248,238,218,94.384,0.075,10.874,3
6015,100015,216,175,134,74.178,9.34,26.659,5
6016,100016,226,185,150,77.917,9.859,23.322,5
6017,100017,211,183,135,75.741,3.209,28.131,5
6018,100018,228,190,143,79.217,7.16,28.823,5
6019,100019,222,182,138,76.571,8.45,27.831,5
6020,100020,228,190,133,79.051,6.049,33.84,5
6021,100021,225,181,128,76.446,9.076,32.999,5
6022,100022,222,174,131,74.472,11.925,28.759,5
6023,100023,212,161,98,69.733,11.606,39.848,6
6024,100024,192,149,88,64.49,8.857,38.128,6
6025,100025,181,131,72,58.533,12.781,39.004,6
6026,100026,193,145,88,63.586,11.475,37.044,6
6027,100027,190,138,95,61.613,14.703,30.749,6
6028,100028,205,153,102,67.069,13.386,34.264,6
6029,100029,201,157,91,67.493,8.566,40.451,6
6030,100030,253,237,219,94.554,2.492,10.652,2
6031,100031,240,223,206,89.747,3.052,10.416,2
6032,100032,105,62,41,30.9,16.498,20.761,8
6033,100033,62,44,32,19.761,6.429,11.03,9
6034,100034,102,69,48,32.469,11.486,18.35,8
6035,100035,105,62,36,30.823,16.08,23.702,8
6036,100036,87,60,41,27.895,9.292,16.435,8
6037,100037,121,80,39,37.752,12.859,30.609,7
6038,100038,125,79,47,38.124,15.902,26.665,7
6039,100039,139,98,52,44.904,11.446,32.357,7
6040,100040,149,96,54,45.665,17.253,32.471,7
6041,100041,170,121,56,54.562,12.451,42.251,6
6042,100042,175,117,85,54.547,19.157,26.867,6
6043,100043,167,120,76,54.209,13.22,31.253,6
6044,100044,172,127,76,56.558,11.44,34.278,6
6045,100045,70,41,26,19.894,11.713,15.431,8
6046,100046,108,60,38,30.784,18.829,22.553,8
6047,100047,114,64,42,32.727,19.466,22.7,7
6048,100048,123,68,43,35.044,21.197,25.225,7
6049,100049,116,66,41,33.5,19.096,24.31,7
6050,100050,159,92,55,46.046,23.964,32.7,7
6051,100051,169,100,63,49.387,24.303,32.576,7
6052,100052,157,93,51,45.957,22.274,34.715,7
6053,100053,170,106,67,50.991,21.668,32.333,6
6054,100054,188,119,70,56.416,22.297,37.759,6
6055,100055,218,151,101,68.006,19.735,36.279,6
6056,100056,216,152,94,67.922,17.797,39.797,6
6057,100057,232,175,115,75.486,13.823,38.685,5
6058,100058,239,183,127,78.317,13.526,36.219,5
6059,100059,239,195,143,81.492,8.857,32.033,5
6060,100060,40,2,1,4.488,17.561,6.635,10
6061,100061,55,22,5,11.939,15.032,16.097,9
6062,100062,81,34,14,19.743,20.5,23.067,8
6063,100063,84,36,18,20.792,20.897,22.166,8
6064,100064,132,57,26,33.789,30.27,33.827,7
