product_id,shade_id,shade_name,hex
1,100000,L2OLIVE,#f2e0b8
1,100001,L2Neutral,#f0d7ba
1,100002,L2PEACH,#edccaa
1,100003,LM2OLIVE,#e9cfa3
1,100004,LM1COOL,#f4c9a4
1,100005,LM1Warm,#eecc9e
1,100006,LM2Neutral,#e6c6a0
1,100007,LM2PEACH,#f7c79b
1,100008,LM1Neutral,#efd4b7
1,100009,L1COOL,#fadcc2
1,100010,L1Warm,#fbe1ba
1,100011,L1Neutral,#fbe2c5
1,100012,F2OLIVE,#f9ebc7
1,100013,F0COOL,#f8ede7
1,100014,F1Warm,#f8eeda
1,100015,M2Neutral,#d8af86
1,100016,M2COOL,#e2b996
1,100017,M2OLIVE,#d3b787
1,100018,M1Neutral,#e4be8f
1,100019,M1PEACH,#deb68a
1,100020,M1Warm,#e4be85
1,100021,M3Warm,#e1b580
1,100022,M3PEACH,#deae83
1,100023,MD1Warm,#d4a162
1,100024,MD2OLIVE,#c09558
1,100025,MD3Warm,#b58348
1,100026,MD2Neutral,#c19158
1,100027,MD3COOL,#be8a5f
1,100028,MD1Neutral,#cd9966
1,100029,MD1OLIVE,#c99d5b
1,100030,F1Neutral,#fdeddb
1,100031,F2COOL,#f0dfce
1,100032,RD2COOL,#693e29
1,100033,RD3COOL,#3e2c20
1,100034,RD1Neutral,#664530
1,100035,RD2Neutral,#693e24
1,100036,RD3Neutral,#573c29
1,100037,D4Neutral,#795027
1,100038,D4COOL,#7d4f2f
1,100039,D3OLIVE,#8b6234
1,100040,D3Neutral,#956036
1,100041,D2OLIVE,#aa7938
1,100042,D2COOL,#af7555
1,100043,D1Neutral,#a7784c
1,100044,D1OLIVE,#ac7f4c
2,100045,110,#46291a
2,100046,120,#6c3c26
2,100047,130,#72402a
2,100048,140,#7b442b
2,100049,150,#744229
2,100050,200,#9f5c37
2,100051,210,#a9643f
2,100052,220,#9d5d33
2,100053,230,#aa6a43
2,100054,240,#bc7746
2,100055,300,#da9765
2,100056,310,#d8985e
2,100057,320,#e8af73
2,100058,330,#efb77f
2,100059,340,#efc38f
3,100060,Rich 1,#280201
3,100061,Rich 1.5,#371605
3,100062,Rich 2,#51220e
3,100063,Rich 2.5,#542412
3,100064,Deep 1,#84391a
3,100065,Deep 1.5,#a14923
3,100066,Deep 2,#aa5129
3,100067,Deep 2.5,#a96b41
3,100068,Medium 1,#ae5a30
3,100069,Medium 1.5,#ca7941
3,100070,Medium 2,#d38c60
3,100071,Medium 2.5,#d99e6e
4,100072,"Rich 1 for rich, ebony skin with red undertones",#3a1b13
4,100073,Rich 2 for rich skin with yellow undertones,#512212
4,100074,Deep 1 for deep brown skin with Neutral undertones,#6e341e
4,100075,Deep 2 for deep brown skin with golden or yellow undertones,#934b2b
4,100076,Medium 1 for medium skin with Neutral or golden undertones,#b76b48
4,100077,Medium 2 for light medium skin with Neutral or olive undertones,#deaa85
5,100078,102 light pink,#f3cfb2
5,100079,104 light/medium pink,#f3c285
5,100080,204 light/medium yellow,#d3a776
5,100081,106 medium pink,#c58e67
5,100082,208 medium yellow,#b47d57
6,100083,00N very fair skin with Neutral undertones,#e0c8bb
6,100084,0CR very fair skin with Neutral undertones,#e5c6b1
6,100085,1N fair skin with Neutral undertones,#deb79a
6,100086,1CR fair skin with Cool Rosy undertones,#d8baa0
6,100087,1.5N light skin with Neutral undertones,#d9b69a
6,100088,2N light skin with Neutral golden undertones,#d6b397
6,100089,2W light skin Warm golden undertones,#cea682
6,100090,2WP light skin with Warm peach undertones,#c89f7f
6,100091,2.5W light skin with Warm undertones,#c89f7f
6,100092,3W light to medium skin with Warm undertones,#c99d76
6,100093,3N light to medium skin with Neutral undertones,#be9577
6,100094,3WO light to medium skin with Warm olive undertones,#c8a178
6,100095,3CR light to medium skin with Cool Rosy undertones,#cfa086
6,100096,4N medium skin with Neutral undertones,#b68366
6,100097,4W medium skin with Warm undertones,#bd8d65
6,100098,4WP medium skin with Warm peach undertones,#c39073
6,100099,4WO medium skin with Warm olive undertones,#bd916c
6,100100,4.5W tan skin with Warm undertones,#aa785d
6,100101,5W tan skin with Warm golden undertones,#ab7654
6,100102,6W tan skin with Warm olive undertones,#8d6148
6,100103,6.5N tan skin with Neutral undertones,#8e5742
6,100104,7N deep skin with Neutral olive undertones,#69493e
6,100105,7.5N deep skin with Neutral red undertones,#6d473e
6,100106,8N deep skin with Warm undertones,#5a3c34
6,100107,9N deep skin with Neutral undertones,#3f2822
7,100108,1 fair skin with a Neutral undertone,#d7c5b1
7,100109,2 fair skin with a Cool Rosy undertone,#ccb395
7,100110,3 fair skin with a Warm undertone,#dac0a7
7,100111,4 fair skin with a golden peach undertone,#d4b69e
7,100112,5 light skin with a Neutral golden undertone,#c2a07b
7,100113,6 light skin with a golden peach undertone,#d4b78f
7,100114,7 light skin with a cool olive undertone,#c9a87d
7,100115,8 light with a Warm golden undertone,#dabe96
7,100116,9 medium skin with a golden undertone,#ba9561
7,100117,10 medium skin with a cool golden undertone,#c59968
7,100118,11 medium to tan skin with a Neutral undertone,#a77a50
7,100119,12 medium skin with a cool olive undertone,#9c6840
7,100120,13 deep skin with a Neutral golden undertone,#966338
7,100121,14 deep skin with a Warm golden undertone,#966338
7,100122,15 deep skin with a Warm undertone,#4c2916
7,100123,16 deep skin with a Neutral undertone,#3b271c
8,100124,1 very fair skin with Neutral undertones,#eeddc9
8,100125,2 very fair skin with cool undertones,#e9d7c3
8,100126,3 fair skin with peach undertones,#f8d6b1
8,100127,4 fair to light skin with pink undertones,#f0d2b6
8,100128,5 light skin with Neutral peach undertones,#f6d1a5
8,100129,6 light skin with Neutral undertones,#f1cba6
8,100130,7 light skin with Warm undertones,#efc092
8,100131,8 light skin with golden undertones,#e5be85
8,100132,9 medium skin with cool undertones,#e8b887
8,100133,10 medium skin with golden undertones,#dbb27e
8,100134,11 medium skin with peach undertones,#f7c183
8,100135,12 medium skin with pink undertones,#d89d7f
8,100136,13 medium skin with cool peach undertones,#d69c6a
8,100137,14 medium skin with Neutral undertones,#d0935c
8,100138,15 medium skin with red undertones,#bc8658
8,100139,16 medium to tan skin with Warm undertones,#d78c52
8,100140,17 medium to tan skin with cool undertones,#c58349
8,100141,18 medium to tan skin with Neutral undertones,#b47c49
8,100142,19 medium to tan skin with peach undertones,#cc7c41
8,100143,20 medium to tan skin with Neutral olive undertones,#a46832
8,100144,21 deep skin with Warm golden undertones,#c88046
8,100145,22 deep skin with red undertones,#5a290b
8,100146,23 deep skin with red olive undertones,#753c0f
8,100147,24 deep skin with Neutral undertones,#682d0b
8,100148,25 very deep skin with Warm red undertones,#572202
9,100149,110C very fair with a cool undertone,#ead9c5
9,100150,120W very fair with a warm undertone,#f6d2ae
9,100151,130N with very fair skin with a neutral pink undertone,#e7d3bb
